"","idx","script","speaker","time_from","time_to"
"295","345","발작이 너무 심해요 ","민지","00:20:11,666","00:20:13,791"
"296","345","팀장님","김 대리","00:20:11,666","00:20:13,791"
"297","346","팀장님 이거 어떻게 할까요, 예?","김 대리","00:20:14,250","00:20:15,708"
"298","347","김 대리, 내가 다시 걸게",NA,"00:20:16,125","00:20:17,500"
"299","350","어머, 저저저 ","종길","00:20:27,041","00:20:29,500"
"300","350","어머, 저걸 어째","인길","00:20:27,041","00:20:29,500"
"301","351","다치겠네","인길","00:20:30,000","00:20:31,208"
"302","352","저러면 안 되지",NA,"00:20:31,291","00:20:32,583"
"303","353","안 되긴 뭐가 안 돼",NA,"00:20:32,666","00:20:33,666"
"304","354","저 나라 어지럽게 뻑 하면 데모질이고",NA,"00:20:33,750","00:20:35,833"
"305","355","옛날 같으면 저런 것들 싹 다 잡아다가",NA,"00:20:36,125","00:20:37,791"
"306","356","그냥 정신 번쩍 차리게",NA,"00:20:37,916","00:20:38,875"
"307","357","얘, 그런 말 하면 못써",NA,"00:20:38,958","00:20:40,708"
"308","359","어머! ","종길","00:20:42,083","00:20:43,375"
"309","359","어머!","인길","00:20:42,083","00:20:43,375"
"310","361","아유, 왜들 저래 ","인길","00:20:45,041","00:20:47,541"
"311","361","아이고, 저저저","종길","00:20:45,041","00:20:47,541"
"312","362","손님","민지","00:20:47,625","00:20:48,958"
"313","364","어떡해","민지","00:20:50,875","00:20:51,916"
"314","366","팀장님! 팀장님, 어디쯤 오고 계세요?",NA,"00:20:55,583","00:20:57,833"
"315","367","미치겠네","민지","00:20:58,916","00:21:00,333"
"316","368","아, 진짜 미치겠네",NA,"00:21:00,416","00:21:02,083"
"317","373","팀장님?",NA,"00:21:12,375","00:21:14,250"
"318","380","민지 씨, 민지 씨?",NA,"00:21:29,125","00:21:31,208"
"319","385","야, 저거 뭐야? ","부원1","00:21:48,333","00:21:50,000"
"320","385","뭐야?","부원2","00:21:48,333","00:21:50,000"
"321","389","뭐야, 저게 뭐 하는 거야?","부원3","00:21:54,500","00:21:55,833"
"322","391","뭐 하는 거야? ","부원4","00:21:57,875","00:21:59,791"
"323","391","거기 누구야?","부원5","00:21:57,875","00:21:59,791"
"324","393","뭐 하는 거야? ","부원6","00:22:01,000","00:22:01,916"
"325","393","왜 저래?","부원7","00:22:01,000","00:22:01,916"
"326","394","뭐 하는 거야?","부원8","00:22:02,000","00:22:04,041"
"327","396","야, 저거 뭐야?",NA,"00:22:05,166","00:22:07,375"
"328","398","야, 너 뭐 해!",NA,"00:22:09,166","00:22:10,041"
"329","403","잠시만요! 잠시만요!","팀장","00:22:21,458","00:22:23,541"
"330","404","잠시만요!",NA,"00:22:23,750","00:22:24,750"
"331","405","잠시만요","팀장","00:22:27,916","00:22:29,291"
"332","406","아, 윽!","팀장","00:22:29,916","00:22:31,541"
"333","414","넘어가요, 넘어가요, 빨리!",NA,"00:22:47,791","00:22:49,125"
"334","415","빨리!",NA,"00:22:49,333","00:22:50,333"
"335","416","빨리 나가요!","팀장","00:22:50,708","00:22:51,708"
